 JUMLAH ," 5 ,345,454"
 TOTAL,
GOMBAK ,"668,694"
Batu ,"285,288"
Rawang ,"199,095"
Setapak,"76,247"
Ulu Kelang ,"108,064"
KLANG ,"842,146"
Bandar Klang ,"10,445"
Kapar ,"262,994"
Klang ,"568,707"
KUALA LANGAT ,"220,214"
Bandar ,"11,136"
Batu ,"16,283"
Jugra ,"7,371"
Kelanang ,"19,894"
Morib ,"3,640"
Tanjong Dua Belas ,"98,164"
Telok Panglima Garang ,"63,726"
KUALA SELANGOR ,"205,257"
Api-Api ,"21,628"
Bestari Jaya ,"24,584"
(Batang Berjuntai),
Ijok ,"54,119"
Jeram ,"45,352"
Kuala Selangor ,"11,649"
Pasangan ,"7,312"
Tanjong Karang ,"30,624"
Ujong Permatang ,"9,835"
Ulu Tinggi ,1 54
PETALING ," 1 ,765,495"
Bandar Petaling Jaya ,"61,367"
Bukit Raja ,"117,869"
Damansara ,"516,666"
Petaling ,"603,430"
Sungai Buloh ,"466,163"
SABAK BERNAM ,"103,709"
Bagan Nakhoda Omar ,"11,623"
Sungai Panjang ,"8,568"
Pasir Panjang ,"24,231"
Sabak ,"20,232"
Pancang Bedena ,"39,055"
SEPANG ,"207,354"
Dengkil ,"170,442"
Labu ,"8,786"
Sepang ,"28,126"
ULU LANGAT ,"1,138,198"
Ampang ,"342,676"
Beranang ,"49,772"
Cheras ,"244,563"
Kajang ,"342,657"
Semenyih ,"99,669"
Ulu Langat ,"55,251"
Ulu Semenyih ,"3,610"
ULU SELANGOR ,"194,387"
Ampang Pechah ,"13,649"
Batang Kali ,"32,783"
Buloh Telor ,1 10
Kalumpang ,"2,444"
Kerling ,"3,718"
Kuala Kalumpang ,"3,605"
Peretak ,"1,418"
Rasa ,"2,999"
Serendah ,"83,099"
Sungai Gumut ,"1,703"
Sungai Tinggi ,"1,884"
Ulu Bernam ,"26,671"
Ulu Yam ,"20,304"
